"STOCK LIST AS AT 06.04.26, 11.16AM",,,,,,
,,,,,,
,,,,,,
BIN,Item Code,Description,Desc 2,Total Bal. Qty,Cost,Item Group
ATTACHMENT,D03/ZRF25-920PA,SIDE SHIFT 1.5 TON,VCY25D-920A,11,851.79,ATTACH
ATTACHMENT,D03/ZRF35-1070PB,SIDE SHIFT 3.0 TON,VCY35D-1070B,6,883.33,ATTACH
ATTACHMENT,D03/ZRF45-1170PB,SIDE SHIFT 4.5 TON,VCY45D-1170B,0,1944.88,ATTACH
ATTACHMENT,D03/ZRF50-1170PB,SIDE SHIFT 5.0 TON,VCY50D-1170C,1,6137.74,ATTACH
ATTACHMENT,FP30G-B3-1070-TOYO 3T,FORK POSITIONER 3.0 TON C/W SIDE SHIFT,VFPS35H-015B-1100,0,2863.52,ATTACH
ATTACHMENT,HC/TY50-1850-SHE,FORK POSITIONER 5.0 TON C/W SIDE SHIFT,,0,10377.57,ATTACH
ATTACHMENT,HFB35D-006B,HINGED FORK 3.5 TON,VHB30D-007B,,3546.04,ATTACH
ATTACHMENT,LJCJ25C-1800,ROTATING FORK CLAMP,,0,12024.4245,ATTACH
ATTACHMENT,LJHM25B-2500,SPONGE CLAMP,,0,8725.08,ATTACH
ATTACHMENT,LJQF30C-1100,HINGED FORK 3.0 TON,,0,2423.63,ATTACH
ATTACHMENT,LJQF35C-1100,HINGED FORK 3.5 TON,,1,2367.59,ATTACH
ATTACHMENT,LJTJ25B-1020,SIDE SHIFT C/W FORK POSITIONER,,1,1866.3865,ATTACH
ATTACHMENT,LJTJ70D-1850Y,FORK POSITIONER,,0,9561.99,ATTACH
ATTACHMENT,LJXZ25B-1040,ROTATOR 2.5 TON LIJUN XMVASTIE,,0,7236,ATTACH
ATTACHMENT,LJXZ35C-1170,ROTATOR 3.5 TON,,0,7343.16,ATTACH
ATTACHMENT,MCSS100DSSS1139C,SIDE SHIFT 4.5 TON,X100D-SSS-1139,,3300,ATTACH
ATTACHMENT,S-02059,BACKREST 3.0 TON,,8,200,ATTACH
ATTACHMENT,S-02334,BACKREST 1.5 TON,,9,200,ATTACH
ATTACHMENT,S-02335,BACKREST 2.5 TON,,7,200,ATTACH
ATTACHMENT,S-02361,BT RRE160 BACKREST,,8,300,ATTACH
ATTACHMENT,S-02363,BACKREST 4.5 TON,HEAVY DUTY GUARD FRAME,4,320,ATTACH
ATTACHMENT,S-02364,BACKREST 6FBRE16,,2,150,ATTACH
ATTACHMENT,S-02395,CASSCADE FORK POSITIONER BACKREST GUARD 3.0 TON 1100MM,3.0 TON LENGHT 1100MM,1,185,ATTACH
ATTACHMENT,VCFR30D-109B,ROTATING FORK CLAMP,,,18547.8,ATTACH
